study_period,subject,femaleID,kin
m19,Ntr,Tot,0
m19,Ntr,Trt,0
m19,Tam,Aka,0
m19,Tam,Ako,0
m19,Tam,Anz,0
m19,Tam,Coc,0
m19,Tam,Har,0
m19,Tam,Hen,0
m19,Tam,Hot,0
m19,Tam,Kil,0
m19,Tam,Kit,0
m19,Tam,Koh,0
m19,Tam,Kol,0
m19,Tam,Kun,0
m19,Tam,Kur,0
m19,Tam,Mal,0
m19,Tam,Mei,0
m19,Tam,Mif,0
m19,Tam,Mik,0
m19,Tam,Ntm,0
m19,Tam,Ntr,0
m19,Tam,Ten,0
m19,Tam,Tot,0.25
m19,Tam,Trt,0.0625
m19,Ten,Aka,0
m19,Ten,Ako,0
m19,Ten,Anz,0
m19,Ten,Coc,0
m19,Ten,Har,0
m19,Ten,Hen,0
m19,Ten,Hot,0
m19,Ten,Kil,0
m19,Ten,Kit,0
m19,Ten,Koh,0
m19,Ten,Kol,0
m19,Ten,Kun,0
m19,Ten,Kur,0
m19,Ten,Mal,0
m19,Ten,Mei,0
m19,Ten,Mif,0
m19,Ten,Mik,0
m19,Ten,Ntm,0
m19,Ten,Ntr,0
m19,Ten,Tam,0
m19,Ten,Tot,0
m19,Ten,Trt,0
m19,Tot,Aka,0
m19,Tot,Ako,0
m19,Tot,Anz,0
m19,Tot,Coc,0
m19,Tot,Har,0
m19,Tot,Hen,0
m19,Tot,Hot,0
m19,Tot,Kil,0
m19,Tot,Kit,0
m19,Tot,Koh,0
m19,Tot,Kol,0
m19,Tot,Kun,0
m19,Tot,Kur,0
m19,Tot,Mal,0
m19,Tot,Mei,0
m19,Tot,Mif,0
m19,Tot,Mik,0
m19,Tot,Ntm,0
m19,Tot,Ntr,0
m19,Tot,Tam,0.25
m19,Tot,Ten,0
m19,Tot,Trt,0.0625
m20,Aka,Ako,0.25
m20,Aka,Anz,0.5
m20,Aka,Coc,0
m20,Aka,Har,0
m20,Aka,Hen,0
m20,Aka,Hot,0
m20,Aka,Kil,0
m20,Aka,Kit,0
m20,Aka,Koh,0
m20,Aka,Kol,0
m20,Aka,Kun,0
m20,Aka,Kur,0
m20,Aka,Mal,0
m20,Aka,Mei,0
m20,Aka,Mif,0
m20,Aka,Mik,0
m20,Aka,Ntm,0
m20,Aka,Ntr,0
m20,Aka,Tam,0
m20,Aka,Ten,0
m20,Aka,Tot,0
m20,Aka,Trt,0
m20,Ako,Aka,0.25
m20,Ako,Anz,0.125
m20,Ako,Coc,0
m20,Ako,Har,0
m20,Ako,Hen,0
m20,Ako,Hot,0
m20,Ako,Kil,0
m20,Ako,Kit,0
m20,Ako,Koh,0
m20,Ako,Kol,0
m20,Ako,Kun,0
m20,Ako,Kur,0
m20,Ako,Mal,0
m20,Ako,Mei,0
m20,Ako,Mif,0
m20,Ako,Mik,0
m20,Ako,Ntm,0
m20,Ako,Ntr,0
m20,Ako,Tam,0
m20,Ako,Ten,0
m20,Ako,Tot,0
m20,Ako,Trt,0
m20,Hen,Aka,0
m20,Hen,Ako,0
m20,Hen,Anz,0
m20,Hen,Coc,0
m20,Hen,Har,0
m20,Hen,Hot,0
m20,Hen,Kil,0
m20,Hen,Kit,0
m20,Hen,Koh,0
m20,Hen,Kol,0
m20,Hen,Kun,0
m20,Hen,Kur,0
m20,Hen,Mal,0
m20,Hen,Mei,0
m20,Hen,Mif,0
m20,Hen,Mik,0
m20,Hen,Ntm,0
m20,Hen,Ntr,0
m20,Hen,Tam,0
m20,Hen,Ten,0
m20,Hen,Tot,0
m20,Hen,Trt,0
m20,Hot,Aka,0
m20,Hot,Ako,0
m20,Hot,Anz,0
m20,Hot,Coc,0
m20,Hot,Har,0.5
m20,Hot,Hen,0
m20,Hot,Kil,0
m20,Hot,Kit,0
m20,Hot,Koh,0
m20,Hot,Kol,0
m20,Hot,Kun,0
m20,Hot,Kur,0
m20,Hot,Mal,0
m20,Hot,Mei,0
m20,Hot,Mif,0
m20,Hot,Mik,0
m20,Hot,Ntm,0
m20,Hot,Ntr,0
m20,Hot,Tam,0
m20,Hot,Ten,0
m20,Hot,Tot,0
m20,Hot,Trt,0
m20,Kil,Aka,0
m20,Kil,Ako,0
m20,Kil,Anz,0
m20,Kil,Coc,0.125
m20,Kil,Har,0
m20,Kil,Hen,0
m20,Kil,Hot,0
m20,Kil,Kit,0.5
m20,Kil,Koh,0.25
m20,Kil,Kol,0.125
m20,Kil,Kun,0.125
m20,Kil,Kur,0.25
m20,Kil,Mal,0
m20,Kil,Mei,0
m20,Kil,Mif,0
m20,Kil,Mik,0
m20,Kil,Ntm,0
m20,Kil,Ntr,0
m20,Kil,Tam,0
m20,Kil,Ten,0
m20,Kil,Tot,0
m20,Kil,Trt,0
m20,Kit,Aka,0
m20,Kit,Ako,0
m20,Kit,Anz,0
m20,Kit,Coc,0.0625
m20,Kit,Har,0
m20,Kit,Hen,0
m20,Kit,Hot,0
m20,Kit,Kil,0.5
m20,Kit,Koh,0.125
m20,Kit,Kol,0.0625
m20,Kit,Kun,0.0625
m20,Kit,Kur,0.125
m20,Kit,Mal,0
m20,Kit,Mei,0
m20,Kit,Mif,0
m20,Kit,Mik,0
m20,Kit,Ntm,0
m20,Kit,Ntr,0
m20,Kit,Tam,0
m20,Kit,Ten,0
m20,Kit,Tot,0
m20,Kit,Trt,0
m20,Koh,Aka,0
m20,Koh,Ako,0
m20,Koh,Anz,0
m20,Koh,Coc,0.5
m20,Koh,Har,0
m20,Koh,Hen,0
m20,Koh,Hot,0
m20,Koh,Kil,0.25
m20,Koh,Kit,0.125
m20,Koh,Kol,0.125
m20,Koh,Kun,0.125
m20,Koh,Kur,0.25
m20,Koh,Mal,0
m20,Koh,Mei,0
m20,Koh,Mif,0
m20,Koh,Mik,0
m20,Koh,Ntm,0
m20,Koh,Ntr,0
m20,Koh,Tam,0
m20,Koh,Ten,0
m20,Koh,Tot,0
m20,Koh,Trt,0
m20,Kol,Aka,0
m20,Kol,Ako,0
m20,Kol,Anz,0
m20,Kol,Coc,0.0625
m20,Kol,Har,0
m20,Kol,Hen,0
m20,Kol,Hot,0
m20,Kol,Kil,0.125
m20,Kol,Kit,0.0625
m20,Kol,Koh,0.125
m20,Kol,Kun,0.25
m20,Kol,Kur,0.5
m20,Kol,Mal,0
m20,Kol,Mei,0
m20,Kol,Mif,0
m20,Kol,Mik,0
m20,Kol,Ntm,0
m20,Kol,Ntr,0
m20,Kol,Tam,0
m20,Kol,Ten,0
m20,Kol,Tot,0
m20,Kol,Trt,0
m20,Kun,Aka,0
m20,Kun,Ako,0
m20,Kun,Anz,0
m20,Kun,Coc,0.0625
m20,Kun,Har,0
m20,Kun,Hen,0
m20,Kun,Hot,0
m20,Kun,Kil,0.125
m20,Kun,Kit,0.0625
m20,Kun,Koh,0.125
m20,Kun,Kol,0.25
m20,Kun,Kur,0.5
m20,Kun,Mal,0
m20,Kun,Mei,0
m20,Kun,Mif,0
m20,Kun,Mik,0
m20,Kun,Ntm,0
m20,Kun,Ntr,0
m20,Kun,Tam,0
m20,Kun,Ten,0
m20,Kun,Tot,0
m20,Kun,Trt,0
m20,Kur,Aka,0
m20,Kur,Ako,0
m20,Kur,Anz,0
m20,Kur,Coc,0.125
m20,Kur,Har,0
m20,Kur,Hen,0
m20,Kur,Hot,0
m20,Kur,Kil,0.25
m20,Kur,Kit,0.125
m20,Kur,Koh,0.25
m20,Kur,Kol,0.5
m20,Kur,Kun,0.5
m20,Kur,Mal,0
m20,Kur,Mei,0
m20,Kur,Mif,0
m20,Kur,Mik,0
m20,Kur,Ntm,0
m20,Kur,Ntr,0
m20,Kur,Tam,0
m20,Kur,Ten,0
m20,Kur,Tot,0
m20,Kur,Trt,0
m20,Mal,Aka,0
m20,Mal,Ako,0
m20,Mal,Anz,0
m20,Mal,Coc,0
m20,Mal,Har,0
m20,Mal,Hen,0
m20,Mal,Hot,0
m20,Mal,Kil,0
m20,Mal,Kit,0
m20,Mal,Koh,0
m20,Mal,Kol,0
m20,Mal,Kun,0
m20,Mal,Kur,0
m20,Mal,Mei,0.125
m20,Mal,Mif,0.25
m20,Mal,Mik,0.5
m20,Mal,Ntm,0
m20,Mal,Ntr,0
m20,Mal,Tam,0
m20,Mal,Ten,0
m20,Mal,Tot,0
m20,Mal,Trt,0
m20,Mei,Aka,0
m20,Mei,Ako,0
m20,Mei,Anz,0
